conflict,society,area,type,start,end,period,W,C,lnW,lnC,C_W,Y
Nemea ,State,Europe,Hist,394,394,BCE,42000,3900,10.6454249,8.268731832,0.092857143,1.079112179
Nga Pahi Maori,Small Scale,Oceania,Ethn,1807,1807,CE,500,170,6.214608098,5.135798437,0.34,1.344360598
Night Attack at Târgoviste,State,Europe/ West Asia,Hist,1462,1462,CE,135000,20000,11.81303006,9.903487553,0.148148148,1.110838059
Olpae,State,Europe,Hist,426,426,BCE,15000,1300,9.61580548,7.170119543,0.086666667,1.080408229
Orchomenus,State,Europe,Hist,85,85,BCE,96000,16000,11.47210347,9.680344001,0.166666667,1.124398839
Panipat I ,State,South Asia,Hist,1526,1526,CE,87000,20500,11.3736634,9.928180165,0.235632184,1.155920967
Panipat III,State,South Asia,Hist,1751,1751,CE,170000,115000,12.04355372,11.65268741,0.676470588,1.234815203
Panormus,State,Europe/         N. Africa,Hist,251,251,BCE,81000,13500,11.30220443,9.510444964,0.166666667,1.12626885
Paraitakene,State,West Asia,Hist ,317,317,BCE,85290,4240,11.35381249,8.352318548,0.049712745,1.019146157
Pawan Khind,State,South Asia,Hist,1659,1659,CE,10300,1600,9.239899174,7.377758908,0.155339806,1.146834455
Philippine-American War (1899-1912),State,S. America,Hist,1899,1912,CE,135000,234000,11.81303006,12.36307639,1.733333333,1.319047877
Plataea ,State,West Asia/ Europe,Hist,479,479,BCE,280000,100000,12.54254488,11.51292546,0.357142857,1.174546428
Po Vey,State,Europe/         N. Africa,Hist,203,203,BCE,56000,7300,10.93310697,8.895629627,0.130357143,1.108056976
Potidaea,State,Europe,Hist,432,432,BCE,7700,450,8.948975608,6.109247583,0.058441558,1.042367732
Pratapgarh,State,South Asia,Hist,1659,1659,CE,64585,6734,11.07573746,8.8149246,0.104265696,1.086501054
Punic War 1st,State,Europe/         N. Africa,Hist,264,241,BCE,1147000,285000,13.9526604,12.56024446,0.248474281,1.13090406
Punic War 2nd,State,Europe/         N. Africa,Hist,218,201,BCE,1518500,626000,14.23323356,13.34710565,0.41224893,1.163894445
Punic War 3rd,State,Europe/         N. Africa,Hist,149,146,BCE,484000,367000,13.08984019,12.81311713,0.758264463,1.224766133
Pydna,State,Europe,Hist,168,168,BCE,73000,26000,11.19821472,10.16585182,0.356164384,1.195255492
Ragamuffin War (1835-1845),State,S. America,Hist,1835,1845,CE,36000,20000,10.49127422,9.903487553,0.555555556,1.250788332
Raphia,State,West Asia/ N. Africa,Hist,217,217,BCE,143000,12500,11.87059991,9.433483923,0.087412587,1.06585681
Russia-Georgia war (2008),State,Central Asia,Cont,2008,2008,CE,29500,2496,10.29214554,7.822444729,0.084610169,1.072790946
Sagrajas,State,Europe,Hist,1086,1086,CE,10000,5000,9.210340372,8.517193191,0.5,1.274227503
Saguntum,State,Europe/         N. Africa,Hist,219,219,BCE,120000,110100,11.69524702,11.60914432,0.9175,1.267867205
Saule,State,Europe,Hist,1236,1236,CE,7500,3900,8.9226583,8.268731832,0.52,1.287464707
Second Anglo-Dutch War,State,Europe,Hist,1665,1667,CE,41250,12368,10.62740639,9.422867771,0.299830303,1.18954175
Second Battle of Guararapes,State,Europe,Hist,1649,1649,CE,6100,1090,8.71604405,6.993932975,0.178688525,1.171725239
Second Battle of Homs ,State,West Asia/ Cent. Asia,Hist,1281,1281,CE,145000,62500,11.88448902,11.04292184,0.431034483,1.200034569
Second Battle of Mohâcs,State,Europe/ West Asia,Hist,1687,1687,CE,120000,10600,11.69524702,9.26860928,0.088333333,1.067740175
Second Battle of Nördlingen,State,Europe,Hist,1645,1645,CE,29000,10000,10.27505111,9.210340372,0.344827586,1.209650061
Second Battle of Newbury,State,Europe,Hist,1644,1644,CE,27500,3500,10.22194128,8.160518247,0.127272727,1.113232189
Second Battle of St Albans,State,Europe,Hist,1461,1461,CE,25000,6000,10.1266311,8.699514748,0.24,1.176935394
Second Sino-Japanese War,State,East Asia,Cont,1937,1945,CE,18100000,25000000,16.7114225,17.03438638,1.38121547,1.211941246
Sentinum,State,Europe,Hist,295,295,BCE,125000,33000,11.73606902,10.40426284,0.264,1.16079231
Siege of Baghdad,State,West Asia/ Cent. Asia,Hist,1258,1258,CE,185000,501000,12.1281111,13.12436138,2.708108108,1.34755009
Siege of Breda,State,Europe,Hist,1624,1625,CE,39000,13000,10.57131693,9.472704636,0.333333333,1.200567588
Siege of Chittorgarh,State,South Asia,Hist,1567,1568,CE,88000,88000,11.38509209,11.38509209,1,1.282727254
Siege of Famagusta,State,Europe/ West Asia,Hist,1570,1571,CE,208500,58500,12.24769432,10.97678203,0.28057554,1.159047367
Siege of Gravelines,State,Europe,Hist,1558,1558,CE,32000,12500,10.37349118,9.433483923,0.390625,1.21968193
Siege of Haarlem,State,Europe,Hist,1572,1573,CE,25275,7700,10.13757104,8.948975608,0.304648863,1.200272864
Siege of Haengju,State,East Asia,Hist,1593,1593,CE,23000,1130,10.04324949,7.029972912,0.049130435,1.020471386
Siege of Jerusalem,State,West Asia,Hist,70,70,CE,105000,1100000,11.56171563,13.91082074,10.47619048,1.481587777
Siege of Kawagoe Castle,State,East Asia,Hist,1545,1546,CE,96000,15000,11.47210347,9.61580548,0.15625,1.118773147
Siege of Kazan ,State,Cent.Asia,Hist,1552,1552,CE,233000,80355,12.35879373,11.2942096,0.344871245,1.174312456
Siege of Leiden,State,Europe,Hist,1573,1574,CE,26000,2500,10.16585182,7.824046011,0.096153846,1.086276097
Siege of Malmö,State,Europe,Hist,1677,1677,CE,21000,4500,9.952277717,8.411832676,0.214285714,1.168647905
Siege of Metz France vs                                 Holy Roman Empire,State,Europe,Hist,1552,1553,CE,116000,20000,11.66134547,9.903487553,0.172413793,1.12528725
Siege of Mirandola,State,Europe,Hist,1551,1552,CE,4400,2000,8.38935982,7.60090246,0.454545455,1.289702494
Siege of Namur,State,Europe,Hist,1692,1692,CE,126000,11000,11.74403719,9.305650552,0.087301587,1.066458338
Siege of Orleans,State,Europe,Hist,1428,1429,CE,14400,6000,9.574983486,8.699514748,0.416666667,1.244742677
Siege of Pilsen,State,Europe,Hist,1618,1618,CE,24158,3600,10.09237087,8.188689124,0.149018959,1.130315671
Siege of Rhodes,State,Europe,Hist,305,304,BCE,41200,6700,10.62619354,8.809862805,0.162621359,1.131989417
Siege of Rhodes,State,Europe/ West Asia,Hist,1480,1480,CE,36400,9500,10.50232405,9.159047078,0.260989011,1.178588933
Siege of Rhodes 2,State,Europe/ West Asia,Hist,1522,1522,CE,207500,11000,12.24288662,9.305650552,0.053012048,1.023004359
Siege of Syracuse,State,Europe/         N. Africa,Hist,214,212,BCE,41000,12000,10.62132735,9.392661929,0.292682927,1.18737869
Siege of Szigetvàr,State,Europe/ West Asia,Hist,1566,1566,CE,143000,28000,11.87059991,10.23995979,0.195804196,1.13379574
Siege of Tenochtitlan,State,Europe/      N. America,Hist,1521,1521,CE,281500,221000,12.54788773,12.30591798,0.785079929,1.237243602
Siege of Uehara,State,East Asia,Hist,1541,1541,CE,6000,310,8.699514748,5.736572297,0.051666667,1.02941927
Siege of Ulsan,State,East Asia,Hist,1597,1598,CE,78500,21200,11.2708539,9.961756461,0.270063694,1.169443983
Siege of Yodfat,State,West Asia,Hist ,67,67,CE,102000,40100,11.53272809,10.59913161,0.393137255,1.198156007
Soviet war in Afghanistan,State,South Asia,Cont,1979,1989,CE,390000,1200000,12.87390202,13.99783211,3.076923077,1.337334082
Spanish Civil War (1936-1939),State,Europe,Cont,1936,1939,CE,1500000,500000,14.22097567,13.12236338,0.333333333,1.149094098
Spartalos ,State,Europe,Hist,429,429,BCE,9400,750,9.148464968,6.620073207,0.079787234,1.075475401
Sphacteria,State,Europe,Hist,425,425,BCE,11440,378,9.344871265,5.934894196,0.033041958,0.979550147
Sri Lankan Civil War (1983-2009),State,South Asia,Cont,1983,2009,CE,280000,100000,12.54254488,11.51292546,0.357142857,1.174546428
St. Matthew's Day,State,Europe,Hist,1217,1217,CE,9000,1100,9.104979856,7.003065459,0.122222222,1.122675881
Strasbourg,State,Europe,Hist,357,357,CE,40000,8243,10.59663473,9.017119634,0.206075,1.154705788
Suiyang,State,East Asia,Hist,757,757,CE,160000,94600,11.98292909,11.45741276,0.59125,1.224766371
Syme,State,Europe,Hist,411,411,BCE,17000,3800,9.740968623,8.242756346,0.223529412,1.176641935
Syrian Civil War (2011-present),State,West Asia,Cont,2011,2015,CE,597500,470000,13.30050956,13.06048797,0.786610879,1.223965422
Taiping Rebellion,State,East Asia,Hist,1850,1864,CE,1600000,50000000,14.28551419,17.72753356,31.25,1.466269195
Tarentum,State,Europe/        N. Africa,Hist,212,212,BCE,25000,14200,10.1266311,9.560997244,0.568,1.262006381
Tarentum 2 ,State,Europe/        N. Africa,Hist,209,209,BCE,36000,11300,10.49127422,9.332558005,0.313888889,1.196368865
Telamon,State,Europe,Hist,225,225,BCE,145400,50000,11.88724384,10.81977828,0.343878955,1.180984784
The Granicus,State,West Asia/ Europe,Hist,334,334,BCE,62100,5000,11.03650127,8.517193191,0.080515298,1.063386732
The Iron Bridge,State,West Asia,Hist,637,637,CE,42000,10500,10.6454249,9.259130536,0.25,1.172147329
The Saw,State,N. Africa,Hist,238,238,BCE,62000,46000,11.03488966,10.73639668,0.741935484,1.264649935
The Somme,State,Europe,Cont,1916,1916,CE,156000,21060,11.95761129,9.955130786,0.135,1.101725612
Thebes,State,Europe,Hist,335,335,BCE,69000,6500,11.14186178,8.779557456,0.094202899,1.076878668
Thermopylae,State,West Asia/ Europe,Hist,480,480,BCE,187000,24000,12.1388639,10.08580911,0.128342246,1.096040375
Thermopylae 2,State,West Asia/ Europe,Hist,191,191,BCE,32500,11000,10.38899537,9.305650552,0.338461538,1.205557028
Ticinus,State,Europe/        N. Africa,Hist,218,218,BCE,16300,2500,9.698920387,7.824046011,0.153374233,1.138572274
Tifernum,State,Europe,Hist,297,297,BCE,45000,5400,10.71441777,8.594154233,0.12,1.102535883
Timurid Conquest,State,Global,Hist,1370,1405,CE,1500000,17000000,14.22097567,16.6487239,11.33333333,1.397063056
Tours,State,West Asia/ Europe,Hist,732,732,CE,65000,13500,11.08214255,9.510444964,0.207692308,1.148633555
Trebia,State,Europe/        N. Africa,Hist,218,218,BCE,82000,37000,11.31447453,10.51867319,0.451219512,1.21415705
Ullais,State,West Asia,Hist,633,633,CE,50000,37000,10.81977828,10.51867319,0.74,1.269670104
US Occupation of Veracruz (1914),State,N.America,Cont,1914,1914,CE,3000,194,8.006367568,5.267858159,0.064666667,1.059998047
Vietnam War ,State,Global ,Cont,1963,1975,CE,2273813,1387232,14.63696872,14.14282095,0.610090628,1.186153849
Walaja ,State,West Asia,Hist,633,633,CE,55000,22000,10.91508846,9.998797732,0.4,1.210954323
War in Darfur (2003-present),State,N. Africa,Cont,2003,2015,CE,240000,461520,12.3883942,13.04228067,1.923,1.312612129
War of the Triple Alliance ,State,S. America,Hist,1864,1870,CE,390000,440000,12.87390202,12.99453001,1.128205128,1.259401059
War of Transnistria  (1992),State,Europe,Cont,1992,1992,CE,48000,2237,10.77895629,7.712890961,0.046604167,1.014176743
Wesenberg,State,Europe,Hist,1268,1268,CE,50500,17000,10.82972862,9.740968623,0.336633663,1.196691525
World War I,State,Global,Cont,1914,1918,CE,65050000,20000000,17.99066676,16.81124283,0.307455803,1.1133616625
World War II,State,Global,Cont,1939,1945,CE,106600000,72500000,18.48459407,18.09909712,0.68011257,1.153283262
Yamama,State,West Asia,Hist,632,632,CE,53000,23200,10.87804719,10.05190756,0.437735849,1.219960085
Yarmouk,State,West Asia,Hist,636,636,CE,100000,53000,11.51292546,10.87804719,0.53,1.224443176
Yellow Turban Rebellion,State,East Asia,Hist,184,205,CE,2350000,5000000,14.66992589,15.42494847,2.127659574,1.270887422
Yique,State,East Asia,Hist,293,293,BCE,360000,158500,12.79385931,11.97350987,0.440277778,1.187474813
Yongqiu,State,East Asia,Hist,756,756,CE,42000,20500,10.6454249,9.928180165,0.488095238,1.234995889
Zama ,State,Europe,Hist,202,202,BCE,100000,22000,11.51292546,9.998797732,0.22,1.148072538
Zumail,State,West Asia,Hist,633,633,CE,22500,5200,10.02127059,8.556413905,0.231111111,1.175029616
Zuolu,State,East Asia,Hist,2500,2500,BCE,42000,12100,10.6454249,9.400960732,0.288095238,1.185470442
