Event date,Day,Action,Protester,State/target,Agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,Org strength: dissidents,Org. strength: regime,Source,Story date,No event found
01-Jan-88,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
02-Jan-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
03-Jan-88,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
04-Jan-88,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
05-Jan-88,Tue,accede,Solidarity,government,,Jaruzelski invites Lech Walesa to talk,Poland,Warsaw,accede,,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,05/01/1988,
06-Jan-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
07-Jan-88,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
08-Jan-88,Fri,petition,Solidarity,government,,Solidarity asks for access to local elections,Poland,Poland,reform,,,31,0,0,0,N,0,0,0,20000000,1816000,Reuters,08/01/1988,
08-Jan-88,Fri,rally,RPW,government,,RPW has a big banner for freedom of political prisoners,Poland,Gorzow Wielkopolski,freedom,,,3001,0,0,0,N,8,0,0,10000,1816000,Reuters,08/01/1988,
08-Jan-88,Fri,demonstration,RPW,government,police,"activists scatter 5,000 leaflets against military service",Poland,Wroclaw,freedom,,12:00-12:45,301,2,0,0,N,8,0,0,10000,1816000,Reuters,08/01/1988,
09-Jan-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
10-Jan-88,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
11-Jan-88,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
12-Jan-88,Tue,rally,Solidarity,government,,crowd gathers as German Minister Genscher at Popieluszko's grave,Poland,Warsaw,justice,19/10/1984,,301,0,0,0,N,31,0,0,20000000,1816000,Reuters,12/01/1988,
12-Jan-88,Tue,trial,RPW,government,court,RPW activist sentenced to 27 months for refusing military service,Poland,Szczecin,repression,,,0,1,0,0,N,0,0,0,10000,1816000,Reuters,12/01/1988,
12-Jan-88,Tue,preclude,Solidarity,government,court,supreme court refuses recognition of Solidarity at a factory,Poland,Warsaw,repression,,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,12/01/1988,
13-Jan-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
14-Jan-88,Thu,preclude,Solidarity,government,,state official says state will determine local election results,Poland,Poland,repression,08/01/1988,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,14/01/1988,
15-Jan-88,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
16-Jan-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
17-Jan-88,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
18-Jan-88,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
19-Jan-88,Tue,exit,Solidarity,government,,fishermen defect to United States,Poland,USA,freedom,,,7,0,0,0,N,0,0,0,20000000,1816000,Reuters,20/01/1988,
20-Jan-88,Wed,demonstration,RPW,government,USSR,march to USSR consulate; against Afghanistan occupation,Poland,Cracow,USSR withdrawal,,,11,6,0,0,N,8,0,0,10000,1816000,Reuters,20/01/1988,
21-Jan-88,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
22-Jan-88,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
23-Jan-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
24-Jan-88,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
25-Jan-88,Mon,arrest,Solidarity,government,police,police arrest underground Solidarity leader,Poland,Gdansk,repression,,,0,1,0,0,N,3,0,0,20000000,1816000,Reuters,25/01/1988,
25-Jan-88,Mon,trial,Solidarity,government,court,arrested Solidarity fugitive sentenced to 18 months,Poland,Dabrowa Gornicza,repression,,,0,1,0,0,N,0,0,0,20000000,1816000,Reuters,25/01/1988,
26-Jan-88,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
27-Jan-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
28-Jan-88,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
29-Jan-88,Fri,trial,RPW,government,court,supreme military court upholds draft dodge sentence,Poland,Warsaw,repression,,,0,1,0,0,N,0,0,0,10000,1816000,Reuters,29/01/1988,
30-Jan-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
31-Jan-88,Sun,demonstration,Solidarity,government,,demonstration against 2/1/88 price increases,Poland,Gdansk,inflation,,,3001,0,0,0,N,8,0,0,20000000,1816000,Reuters,31/01/1988,
31-Jan-88,Sun,demonstration,Solidarity,government,,protesters throw snowballs at police; against inflation,Poland,Warsaw,inflation,,,1500,0,0,0,N,31,0,0,20000000,1816000,Reuters,31/01/1988,
31-Jan-88,Sun,petition,Solidarity,government,,Solidarity asks for withdrawal of price increases,Poland,Poland,inflation,,,31,0,0,0,N,0,0,0,20000000,1816000,Reuters,31/01/1988,
01-Feb-88,Mon,preclude,Solidarity,government,police,police disrupt demonstration for human rights in Romania,Poland,Warsaw,human rights,,,101,50,0,0,N,31,0,0,20000000,1816000,Reuters,01/02/1988,
02-Feb-88,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
03-Feb-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
04-Feb-88,Thu,arrest,PPS,government,police,police raid flat; find paper against price rises,Poland,Wroclaw,repression,,,0,6,0,0,N,3,0,0,20000000,1816000,Reuters,06/02/1988,
05-Feb-88,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
06-Feb-88,Sat,trial,PPS,government,court,5 arrested fined heavily,Poland,Wroclaw,repression,04/02/1988,,0,5,0,0,N,0,0,0,20000000,1816000,Reuters,06/02/1988,
07-Feb-88,Sun,arrest,PPS,government,police,PPS leaders arrested on way to meeting,Poland,Warsaw,repression,,,0,6,0,0,N,3,0,0,20000000,1816000,Reuters,08/02/1988,
07-Feb-88,Sun,symbolic,Solidarity,government,police,youths ride tram with Solidarity banner waving,Poland,Cracow,freedom,,13:30-13:45,36,3,0,0,N,3,0,0,20000000,1816000,Reuters,08/02/1988,
08-Feb-88,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
09-Feb-88,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
10-Feb-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
11-Feb-88,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
12-Feb-88,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
13-Feb-88,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
14-Feb-88,Sun,dissolution,PPS,government,,PPS officers all resign; say party is infiltrated by police,Poland,Warsaw,anti-government,,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,14/02/1988,
15-Feb-88,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
16-Feb-88,Tue,symbolic,Solidarity,government,police,police use tear gas against colorfully dressed youths in carnival ,Poland,Wroclaw,freedom,,12:00-12:45,301,150,0,0,N,31,0,0,20000000,1816000,Reuters,16/02/1988,
17-Feb-88,Wed,trial,dissident,government,court,deranged airplane hijacker sentenced to 10 years,Poland,Warsaw,justice,,,0,1,0,0,N,0,0,0,1,1816000,Reuters,17/02/1988,
18-Feb-88,Thu,demonstration,students,government,police,students mark anniversity of student union; want revivial,Poland,Cracow,recognition,18/02/1981,17:00-19:00,1000,0,0,0,N,8,0,0,20000000,1816000,Reuters,18/02/1988,
19-Feb-88,Fri,rally,students,government,,students march to rector's office; demand recognition,Poland,Warsaw,recognition,18/02/1981,,1000,0,0,0,N,0,0,0,20000000,1816000,Reuters,19/02/1988,
20-Feb-88,Sat,preclude,Solidarity,government,police,police arrest 8 to preclude Solidarity meetin in Gdansk,Poland,Poland,repression,,,0,8,0,0,N,31,0,0,20000000,1816000,Reuters,20/02/1988,
21-Feb-88,Sun,demonstration,Rural Solidarity,government,police,elderly march on anniversary of Rural Solidarity,Poland,Rzeszow,recognition,18/02/1981,,150,10,0,0,N,8,0,0,20000000,1816000,Reuters,21/02/1988,
22-Feb-88,Mon,petition,Solidarity,government,,health workers petition for higher pay to offset price rises,Poland,Poland,inflation,,,10001,0,0,0,N,0,0,0,20000000,1816000,Reuters,22/02/1988,
23-Feb-88,Tue,demonstration,Solidarity,government,police,"doctors, nurses march for higher pay",Poland,Gdansk,inflation,,,501,0,0,0,N,8,0,0,20000000,1816000,Reuters,23/02/1988,
24-Feb-88,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
25-Feb-88,Thu,preclude,Solidarity,government,,Solidarity leader denied passport to go to Australia conference,Poland,Wroclaw,repression,,,1,0,0,0,N,0,0,0,20000000,1816000,Reuters,25/02/1988,
25-Feb-88,Thu,symbolic,students,government,police,"students climb to rooftop, unfurl banner; throw leaflests",Poland,Warsaw,freedom,,,5,5,0,0,N,8,0,0,20000000,1816000,Reuters,25/02/1988,
26-Feb-88,Fri,arrest,Solidarity,government,police,police break up a Solidarity meeting,Poland,Belchatow,repression,,,8,3,0,0,N,3,0,0,20000000,1816000,Reuters,26/02/1988,
26-Feb-88,Fri,petition,Solidarity,government,,miners ask for higher wages because of price rises,Poland,Belchatow,inflation,,,15000,0,0,0,N,0,0,0,20000000,1816000,Reuters,26/02/1988,
