Event date,Day,Action,Protester,State/target,Agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,Org strength: dissidents,Org. strength: regime,Source,Story date,No event found
01-Jan-86,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
02-Jan-86,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
03-Jan-86,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
04-Jan-86,Sat,petition,dissidents,government,,letters protest price increases,Poland,Poland,inflation,,,36,0,0,0,N,0,0,0,20000000,1816000,BBC,08/01/1986,
05-Jan-86,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
06-Jan-86,Mon,delay appeal,Solidarity,government,court,Supreme court delays appeal of 3 prisoners,Poland,Warsaw,freedom,,,3,0,0,0,N,0,0,0,20000000,1816000,Reuters,06/01/1986,
07-Jan-86,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
08-Jan-86,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
09-Jan-86,Thu,petition,Solidarity,government,,Walesa asks for funds/separate status for pol prisoners,Poland,Gdansk,freedom,,,1,0,0,0,N,0,0,0,20000000,1816000,Reuters,09/01/1996,
10-Jan-86,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
11-Jan-86,Sat,arrest,Solidarity,government,police,one of underground Solidarity leaders arrested,Poland,Gdansk,repression,,,,1,0,0,N,31,0,0,20000000,1816000,Reuters,11/01/1986,
11-Jan-86,Sat,arrest,Solidarity,government,police,"police find printing press, make arrests",Poland,Gdansk,repression,,,,5,0,0,N,31,0,0,20000000,1816000,Reuters,12/01/1986,
12-Jan-86,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
13-Jan-86,Mon,fine,Peace & Freedom,government,court,court upholds $5000 fine for returning conscription cards,Poland,Warsaw,pacifism,,,31,0,0,0,N,0,0,0,3001,1816000,Fin Times,16/01/1986,
14-Jan-86,Tue,exit,Solidarity,government,,apply for political asylum in Germany,Poland,Germany,freedom,,,750,0,0,0,N,0,0,0,20000000,1816000,Uncens News,08/09/1986,
15-Jan-86,Wed,accede,dissidents,government,,leader of Warsaw ghetto rising allowed to go to France,Poland,Warsaw,accede,,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,15/01/1986,
16-Jan-86,Thu,preemption,Solidarity,government,police,arrest 2 activists to prevent press conf. while peace congress in Warsaw,Poland,Warsaw,repression,,,,2,0,0,N,5,0,0,20000000,1816000,Reuters,16/01/1986,
16-Jan-86,Thu,arrest,Solidarity,government,police,police break up press conference,Poland,Warsaw,repression,16/01/1986,,8,1,0,0,N,8,0,0,20000000,1816000,Reuters,16/01/1986,
